scenario,total_energy_cost_eur,peak_import_kw,peak_cost_eur,customer_cost_eur,local_savings_eur,local_savings_pct,fcr_revenue_eur,mfrr_capacity_revenue_eur,expected_mfrr_activation_revenue_eur,total_market_revenue_eur,total_value_eur,delta_vs_fcr_only_eur,min_soc_mwh,max_soc_mwh,peak_import_reduction_kw,max_residual_peak_exposure_kw,total_residual_peak_exposure_kwh,constraint_violation_count,savings_floor_pass
no_battery,1457.7817834135415,1202.0669827591296,601.0334913795648,2058.8152747931063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.4558565153417,1.0,1.0,0.0,205.3104685627485,450.61255148551516,0,true
local_only,1191.3452983302084,1096.6497700528887,548.3248850264443,1739.6701833566526,319.14509143645364,0.15501395163707685,0.0,0.0,0.0,0.0,319.14509143645364,-193.31076507888804,0.2,1.8,105.41721270624089,99.89325585650761,99.89325585650772,0,true
fcr_only,1191.3452983302084,1096.6497700528887,548.3248850264443,1739.6701833566526,319.14509143645364,0.15501395163707685,193.31076507888804,0.0,0.0,193.31076507888804,512.4558565153417,0.0,0.2,1.8,105.41721270624089,99.89325585650761,99.89325585650772,0,true
stacked_low_activation,1191.3452983302084,1096.6497700528887,548.3248850264443,1739.6701833566526,319.14509143645364,0.15501395163707685,193.31076507888804,16.375,0.0,209.68576507888804,528.8308565153417,16.375,0.2,1.8,105.41721270624089,99.89325585650761,99.89325585650772,0,true
stacked_base_activation,1233.4858249679896,1096.6497700528887,548.3248850264443,1781.810709994434,277.00456479867216,0.13454561377611152,193.51979591589244,12.5,0.2698087993421052,206.28960471523456,483.2941695139067,-29.161687001434984,0.2,1.750657894736842,105.41721270624089,99.89325585650761,99.89325585650772,0,true
stacked_high_activation,1261.2986624636612,1096.6497700528887,548.3248850264443,1809.6235474901055,249.1917273030008,0.12103646711482771,203.56964753700095,10.125,0.5396175986842104,214.23426513568515,463.42599243868597,-49.02986407665571,0.2,1.7013157894736843,105.41721270624089,99.89325585650761,99.89325585650772,0,true
