Date/Time CET/CEST;Date/Time UTC;MBA;Consumption Total [MWh];Metered [MWh];Profiled [MWh];Flex-settled [MWh]
24.06.2026/13:15;24.06.2026/11:15;SE1, SE2, SE3, SE4;-3340,829699;-2972,255829;-368,57387;
24.06.2026/13:30;24.06.2026/11:30;SE1, SE2, SE3, SE4;-3358,315907;-2989,426648;-368,889259;
24.06.2026/13:45;24.06.2026/11:45;SE1, SE2, SE3, SE4;-3339,683946;-2973,765665;-365,918281;
24.06.2026/14:00;24.06.2026/12:00;SE1, SE2, SE3, SE4;-3322,377031;-2955,758582;-366,618449;
24.06.2026/14:15;24.06.2026/12:15;SE1, SE2, SE3, SE4;-3329,119749;-2963,926146;-365,193603;
24.06.2026/14:30;24.06.2026/12:30;SE1, SE2, SE3, SE4;-3329,531779;-2964,147039;-365,38474;
24.06.2026/14:45;24.06.2026/12:45;SE1, SE2, SE3, SE4;-3338,409714;-2972,02762;-366,382094;
24.06.2026/15:00;24.06.2026/13:00;SE1, SE2, SE3, SE4;-3363,111055;-2995,288042;-367,823013;
24.06.2026/15:15;24.06.2026/13:15;SE1, SE2, SE3, SE4;-3335,23917;-2967,11743;-368,12174;
24.06.2026/15:30;24.06.2026/13:30;SE1, SE2, SE3, SE4;-3341,203247;-2971,353867;-369,84938;
24.06.2026/15:45;24.06.2026/13:45;SE1, SE2, SE3, SE4;-3321,440571;-2945,940036;-375,500535;
24.06.2026/16:00;24.06.2026/14:00;SE1, SE2, SE3, SE4;-3299,148993;-2917,114559;-382,034434;
24.06.2026/16:15;24.06.2026/14:15;SE1, SE2, SE3, SE4;-3290,489244;-2901,931716;-388,557528;
24.06.2026/16:30;24.06.2026/14:30;SE1, SE2, SE3, SE4;-3323,431749;-2924,274092;-399,157657;
24.06.2026/16:45;24.06.2026/14:45;SE1, SE2, SE3, SE4;-3318,258837;-2909,801027;-408,45781;
24.06.2026/17:00;24.06.2026/15:00;SE1, SE2, SE3, SE4;-3291,763152;-2877,174259;-414,588893;
24.06.2026/17:15;24.06.2026/15:15;SE1, SE2, SE3, SE4;-3286,825462;-2864,698151;-422,127311;
24.06.2026/17:30;24.06.2026/15:30;SE1, SE2, SE3, SE4;-3268,456116;-2842,305593;-426,150523;
24.06.2026/17:45;24.06.2026/15:45;SE1, SE2, SE3, SE4;-3282,179902;-2853,778023;-428,401879;
24.06.2026/18:00;24.06.2026/16:00;SE1, SE2, SE3, SE4;-3247,115883;-2818,311798;-428,804085;
24.06.2026/18:15;24.06.2026/16:15;SE1, SE2, SE3, SE4;-3242,884804;-2813,885878;-428,998926;
24.06.2026/18:30;24.06.2026/16:30;SE1, SE2, SE3, SE4;-3241,617125;-2813,940109;-427,677016;
24.06.2026/18:45;24.06.2026/16:45;SE1, SE2, SE3, SE4;-3228,621031;-2801,639482;-426,981549;
24.06.2026/19:00;24.06.2026/17:00;SE1, SE2, SE3, SE4;-3196,280333;-2768,461781;-427,818552;
24.06.2026/19:15;24.06.2026/17:15;SE1, SE2, SE3, SE4;-3194,524939;-2768,698646;-425,826293;
24.06.2026/19:30;24.06.2026/17:30;SE1, SE2, SE3, SE4;-3175,875561;-2752,880217;-422,995344;
24.06.2026/19:45;24.06.2026/17:45;SE1, SE2, SE3, SE4;-3170,254605;-2748,57077;-421,683835;
24.06.2026/20:00;24.06.2026/18:00;SE1, SE2, SE3, SE4;-3178,847553;-2759,511104;-419,336449;
24.06.2026/20:15;24.06.2026/18:15;SE1, SE2, SE3, SE4;-3153,492722;-2734,348872;-419,14385;
24.06.2026/20:30;24.06.2026/18:30;SE1, SE2, SE3, SE4;-3146,939056;-2731,238989;-415,700067;
24.06.2026/20:45;24.06.2026/18:45;SE1, SE2, SE3, SE4;-3122,470925;-2710,478284;-411,992641;
24.06.2026/21:00;24.06.2026/19:00;SE1, SE2, SE3, SE4;-3094,00967;-2686,115918;-407,893752;
24.06.2026/21:15;24.06.2026/19:15;SE1, SE2, SE3, SE4;-3091,679752;-2686,288571;-405,391181;
24.06.2026/21:30;24.06.2026/19:30;SE1, SE2, SE3, SE4;-3088,371582;-2688,610049;-399,761533;
24.06.2026/21:45;24.06.2026/19:45;SE1, SE2, SE3, SE4;-3071,981974;-2675,696575;-396,285399;
24.06.2026/22:00;24.06.2026/20:00;SE1, SE2, SE3, SE4;-3077,967173;-2682,675661;-395,291512;
24.06.2026/22:15;24.06.2026/20:15;SE1, SE2, SE3, SE4;-3063,242125;-2671,763417;-391,478708;
24.06.2026/22:30;24.06.2026/20:30;SE1, SE2, SE3, SE4;-3024,063624;-2638,165741;-385,897883;
24.06.2026/22:45;24.06.2026/20:45;SE1, SE2, SE3, SE4;-2997,799929;-2619,488671;-378,311258;
24.06.2026/23:00;24.06.2026/21:00;SE1, SE2, SE3, SE4;-2971,398493;-2600,911798;-370,486695;
24.06.2026/23:15;24.06.2026/21:15;SE1, SE2, SE3, SE4;-2892,424317;-2533,139074;-359,285243;
24.06.2026/23:30;24.06.2026/21:30;SE1, SE2, SE3, SE4;-2868,899226;-2518,838197;-350,061029;
24.06.2026/23:45;24.06.2026/21:45;SE1, SE2, SE3, SE4;-2869,593679;-2529,706238;-339,887441;
